000002.SZ,000001.SZ
-0.07392012,0.08101816
-0.0483553,0.13124122
-0.04621111,0.14601365
-0.04318315,0.13236547
-0.05611902,0.105854765
-0.053862493,0.10025814
-0.035711583,0.07784712
-0.04340552,0.048330832
-0.04581908,0.037744287
-0.051344823,0.039519392
-0.04318328,0.042483464
-0.046488736,0.03741552
-0.04436764,0.022218235
-0.049510885,0.00014452264
-0.051583085,-0.001950156
-0.03809137,0.0013774633
-0.04474683,0.026306853
-0.040944453,0.053031832
-0.04115728,0.06902978
-0.039969385,0.08213362
-0.015626889,0.07899233
-0.01610542,0.06274959
-0.017098852,0.04804844
-0.008151279,0.03967233
-0.00404038,0.061857216
0.0031373063,0.060491536
-0.0028172573,0.061286308
0.0053689275,0.052119743
0.007940437,0.03804303
0.013986279,0.052948236
0.015881617,0.041342646
0.0071239946,0.021567445
0.009749674,0.012349598
0.0090379305,0.0035162978
0.012729159,-0.0049683377
0.013158148,-0.016891193
0.005871329,-0.016327817
-0.016337395,-0.01757804
-0.03977596,-0.030846898
-0.060678285,-0.021378875
-0.07926027,-0.017500784
-0.08398563,-0.0030485205
-0.08139099,0.040572528
-0.079376996,0.041739162
-0.07810685,0.029342912
-0.068242475,0.017081946
-0.056060124,0.0026804134
-0.0433976,-0.013581488
-0.031210605,-0.013280604
-0.026370678,-0.019805014
-0.023443129,-0.028378066
-0.010607406,-0.0360254
-0.008341736,-0.045870867
0.0020523332,-0.05962087
0.0032494767,-0.060862366
0.01033794,-0.062784016
0.02215268,-0.067619994
0.032691035,-0.06813884
0.04513474,-0.06342496
0.056790944,-0.06843123
0.057543524,-0.07883869
0.05944613,-0.087238714
0.14121309,-0.088836014
0.16991855,-0.09105407
0.21562153,-0.08883965
0.22907639,-0.08278039
0.23081785,-0.068592474
0.22318596,-0.047913145
0.21353747,-0.038804952
0.20456183,-0.02540746
0.19056611,-0.027018901
0.17307507,-0.03851294
0.17266884,-0.049910586
0.16254124,-0.042161193
0.15454999,-0.03587183
0.14227793,-0.038614776
